geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037133102,6037133102,2019,664,1473,1473
1400000US06037134001,6037134001,2019,657,1415,1415
1400000US06037134002,6037134002,2019,594,1294,1294
1400000US06037134101,6037134101,2019,560,1364,1364
1400000US06037134103,6037134103,2019,520,1320,1320
1400000US06037134104,6037134104,2019,845,1427,1427
1400000US06037134201,6037134201,2019,274,1429,1429
1400000US06037134302,6037134302,2019,233,2728,2728
1400000US06037134303,6037134303,2019,468,1825,1825
1400000US06037134304,6037134304,2019,311,1921,1921
1400000US06037134305,6037134305,2019,1125,1375,1375
1400000US06037134306,6037134306,2019,940,1572,1572
1400000US06037134421,6037134421,2019,88,3501,3501
1400000US06037134422,6037134422,2019,228,2744,2744
1400000US06037134423,6037134423,2019,240,1843,1843
1400000US06037134424,6037134424,2019,28,3385,3385
1400000US06037134520,6037134520,2019,1591,1319,1319
1400000US06037134521,6037134521,2019,643,1582,1582
1400000US06037134522,6037134522,2019,1130,1164,1164
1400000US06037134710,6037134710,2019,1305,1251,1251
1400000US06037134720,6037134720,2019,820,1606,1606
1400000US06037134801,6037134801,2019,280,2155,2155
1400000US06037134802,6037134802,2019,288,2155,2155
1400000US06037134901,6037134901,2019,440,1200,1200
1400000US06037134904,6037134904,2019,731,1195,1195
1400000US06037134905,6037134905,2019,2057,2417,2417
1400000US06037134906,6037134906,2019,853,1835,1835
1400000US06037134907,6037134907,2019,1911,1835,1835
1400000US06037135102,6037135102,2019,228,2301,2301
1400000US06037135111,6037135111,2019,524,2026,2026
1400000US06037135113,6037135113,2019,1187,2415,2415
1400000US06037135115,6037135115,2019,617,1867,1867
1400000US06037135116,6037135116,2019,1732,1867,1867
1400000US06037135201,6037135201,2019,183,2885,2885
1400000US06037135202,6037135202,2019,255,3229,3229
1400000US06037135204,6037135204,2019,148,2840,2840
1400000US06037135205,6037135205,2019,211,2840,2840
1400000US06037137000,6037137000,2019,342,3397,3397
1400000US06037137103,6037137103,2019,1121,2225,2225
1400000US06037137104,6037137104,2019,191,2568,2568
1400000US06037137202,6037137202,2019,529,1848,1848
1400000US06037137203,6037137203,2019,684,1848,1848
1400000US06037137301,6037137301,2019,57,3304,3304
1400000US06037137302,6037137302,2019,127,3342,3342
1400000US06037137401,6037137401,2019,503,2474,2474
1400000US06037137402,6037137402,2019,518,2260,2260
1400000US06037137501,6037137501,2019,1177,2465,2465
1400000US06037137502,6037137502,2019,635,2301,2301
1400000US06037137504,6037137504,2019,37,3501,3501
1400000US06037138000,6037138000,2019,327,3344,3344
1400000US06037139001,6037139001,2019,1105,1809,1809
1400000US06037139200,6037139200,2019,932,1872,1872
1400000US06037139301,6037139301,2019,290,2710,2710
1400000US06037139302,6037139302,2019,1633,1705,1705
1400000US06037139303,6037139303,2019,1292,1426,1426
1400000US06037139401,6037139401,2019,1012,1351,1351
1400000US06037139402,6037139402,2019,153,3092,3092
1400000US06037139502,6037139502,2019,403,1697,1697
1400000US06037139504,6037139504,2019,1360,1658,1658
1400000US06037139505,6037139505,2019,844,1658,1658
1400000US06037139506,6037139506,2019,910,1658,1658
1400000US06037139600,6037139600,2019,873,1739,1739
1400000US06037139701,6037139701,2019,497,3031,3031
1400000US06037139703,6037139703,2019,167,2858,2858
1400000US06037139704,6037139704,2019,119,3501,3501
1400000US06037139705,6037139705,2019,57,3501,3501
1400000US06037139801,6037139801,2019,93,2710,2710
1400000US06037139802,6037139802,2019,93,3185,3185
1400000US06037141101,6037141101,2019,1606,1868,1868
1400000US06037141102,6037141102,2019,831,1888,1888
1400000US06037141201,6037141201,2019,1848,1879,1879
1400000US06037141202,6037141202,2019,833,1928,1928
1400000US06037141303,6037141303,2019,1347,1904,1904
1400000US06037141304,6037141304,2019,797,1793,1793
1400000US06037141305,6037141305,2019,1190,2111,2111
1400000US06037141306,6037141306,2019,1016,2108,2108
1400000US06037141400,6037141400,2019,1022,1730,1730
1400000US06037141600,6037141600,2019,168,3254,3254
1400000US06037141700,6037141700,2019,85,3501,3501
1400000US06037143101,6037143101,2019,1111,1966,1966
1400000US06037143102,6037143102,2019,318,1966,1966
1400000US06037143200,6037143200,2019,1491,1627,1627
1400000US06037143301,6037143301,2019,695,1714,1714
1400000US06037143302,6037143302,2019,1243,1714,1714
1400000US06037143401,6037143401,2019,1019,1960,1960
1400000US06037143402,6037143402,2019,596,1960,1960
1400000US06037143500,6037143500,2019,1319,2269,2269
1400000US06037143602,6037143602,2019,947,1748,1748
1400000US06037143603,6037143603,2019,959,1734,1734
1400000US06037143605,6037143605,2019,1165,1963,1963
1400000US06037143606,6037143606,2019,821,1963,1963
1400000US06037143700,6037143700,2019,445,1704,1704
1400000US06037143801,6037143801,2019,597,1864,1864
